herry001,Herrera,Yoslan,R,R,ANA,P
hillr001,Hill,Rich,L,L,ANA,P
iannc001,Iannetta,Chris,R,R,ANA,C
ibanr001,Ibanez,Raul,L,R,ANA,OF
jepsk001,Jepsen,Kevin,R,R,ANA,P
jimel002,Jimenez,Luis,R,R,ANA,3B
kendh001,Kendrick,Howard,R,R,ANA,2B
kohnm001,Kohn,Michael,R,R,ANA,P
leblw001,LeBlanc,Wade,L,L,ANA,P
maron001,Maronde,Nick,B,L,ANA,P
mcdoj003,McDonald,John,R,R,ANA,SS
morim002,Morin,Mike,R,R,ANA,P
navae001,Navarro,Efren,L,L,ANA,1B
omals001,O'Malley,Shawn,B,R,ANA,OF
pestv001,Pestano,Vinnie,R,R,ANA,P
pujoa001,Pujols,Albert,R,R,ANA,1B
rasmc002,Rasmus,Cory,R,R,ANA,P
richg002,Richards,Garrett,R,R,ANA,P
rothm001,Roth,Michael,L,L,ANA,P
rucid001,Rucinski,Drew,R,R,ANA,P
salaf001,Salas,Fernando,R,R,ANA,P
santh001,Santiago,Hector,R,L,ANA,P
shoem001,Shoemaker,Matt,R,R,ANA,P
shucj001,Shuck,J.B.,L,L,ANA,OF
skagt001,Skaggs,Tyler,L,L,ANA,P
smitj002,Smith,Joe,R,R,ANA,P
stewi001,Stewart,Ian,L,R,ANA,3B
streh001,Street,Huston,R,R,ANA,P
thatj001,Thatcher,Joe,L,L,ANA,P
troum001,Trout,Mike,R,R,ANA,OF
wallj002,Wall,Josh,R,R,ANA,P
weavj003,Weaver,Jered,R,R,ANA,P
wilsc004,Wilson,C.J.,L,L,ANA,P
alvaj003,Alvarez,Jose,L,L,ANA,P
aybae001,Aybar,Erick,B,R,ANA,SS
bandj001,Bandy,Jett,R,R,ANA,C
bedrc001,Bedrosian,Cam,R,R,ANA,P
buted001,Butera,Drew,R,R,ANA,C
calhk001,Calhoun,Kole,L,L,ANA,OF
cowak001,Cowart,Kaleb,B,R,ANA,3B
cowgc001,Cowgill,Collin,R,L,ANA,OF
cronc002,Cron,C.J.,R,R,ANA,1B
dejed001,DeJesus,David,L,L,ANA,CF
featt001,Featherston,Taylor,R,R,ANA,2B
freed001,Freese,David,R,R,ANA,3B
giavj001,Giavotella,Johnny,R,R,ANA,2B
gillc001,Gillaspie,Conor,L,R,ANA,1B
gottt001,Gott,Trevor,R,R,ANA,P
greeg002,Green,Grant,R,R,ANA,OF
heana001,Heaney,Andrew,L,L,ANA,P
iannc001,Iannetta,Chris,R,R,ANA,C
ibare001,Ibarra,Edgar,L,L,ANA,P
jackr005,Jackson,Ryan,R,R,ANA,SS
joycm001,Joyce,Matthew,L,R,ANA,OF
kraum001,Krauss,Marc,L,R,ANA,OF
kubik001,Kubitza,Kyle,L,R,ANA,3B
latom001,Latos,Mat,R,R,ANA,P
marta005,Marte,Alfredo,R,R,ANA,OF
mattr001,Mattheus,Ryan,R,R,ANA,P
morim002,Morin,Mike,R,R,ANA,P
murpd005,Murphy,David,L,L,ANA,OF
navae001,Navarro,Efren,L,L,ANA,1B
nieuk001,Nieuwenhuis,Kirk,L,R,ANA,OF
perec003,Perez,Carlos,R,R,ANA,C
pestv001,Pestano,Vinnie,R,R,ANA,P
pujoa001,Pujols,Albert,R,R,ANA,1B
ramoc001,Ramos,Cesar,L,L,ANA,P
rasmc002,Rasmus,Cory,R,R,ANA,P
reyej003,Reyes,Jo-Jo,L,L,ANA,P
richg002,Richards,Garrett,R,R,ANA,P
robed003,Robertson,Daniel,R,R,ANA,OF
rucid001,Rucinski,Drew,R,R,ANA,P
salaf001,Salas,Fernando,R,R,ANA,P
santh001,Santiago,Hector,R,L,ANA,P
shoem001,Shoemaker,Matt,R,R,ANA,P
smitj002,Smith,Joe,R,R,ANA,P
streh001,Street,Huston,R,R,ANA,P
tropn001,Tropeano,Nick,R,R,ANA,P
troum001,Trout,Mike,R,R,ANA,OF
victs001,Victorino,Shane,R,R,ANA,OF
weavj003,Weaver,Jered,R,R,ANA,P
wilka001,Wilk,Adam,L,L,ANA,P
wilsc004,Wilson,C.J.,L,L,ANA,P
wrigw001,Wright,Wesley,R,L,ANA,P
albaj001,Albaladejo,Jonathan,R,R,ARI,P
albem001,Albers,Matt,L,R,ARI,P
bauet001,Bauer,Trevor,R,R,ARI,P
bellj004,Bell,Josh,B,R,ARI,3B
bergb002,Bergesen,Brad,L,R,ARI,P
